Sample_ID,Treatment,Variety,Sample,R460,R520,R580,R660,R710,R730,R760,R780,R810,R850,R900,BF(F440),GF(F520),RF(F690),FrF(f740)
CK1_1110_3,CK1,1110,3,0.03674,0.1235342338215357,0.0791361543801727,0.0748379721283369,0.0499933888668517,0.0932722031647428,0.1642260036662732,0.1942135840751359,0.1764884571092923,0.1929578674138674,0.1829927383956367,0.0525964761430087,0.0611818792914598,0.0509087470123974,0.1756849938166534
CK1_1099_1,CK1,1099,1,0.037044,0.1990728660733392,0.1640692744792357,0.145141241029077,0.0791115333157871,0.1757678650956712,0.3241645942897523,0.3548828633584499,0.3663101121063242,0.3622353179924476,0.3470319921626956,0.0700695936894248,0.1153068132255165,0.0796971970449676,0.3053720520954518
CK1_1099_2,CK1,1099,2,0.036288,0.1909215970284446,0.1596765489924503,0.138667993616142,0.0784757781199003,0.1680544572122824,0.3146798955022876,0.3344936631908969,0.3506329755510121,0.3600477095323372,0.3364483392778659,0.0717198581560283,0.1155693243422337,0.0833906935446131,0.3133183274019775
CK1_1099_3,CK1,1099,3,0.035364,0.1830997378307832,0.1419672561658407,0.1219889836166923,0.0675014832033815,0.1500815040717952,0.2831518683671426,0.338910406412222,0.3396131209955,0.3507621732884393,0.329261928277914,0.0698667911106761,0.1038725727471725,0.0741000903474714,0.298747077299974
CK1_73_1,CK1,73,1,0.034944,0.1789850667360285,0.1523224536611834,0.1357010371153251,0.0778213205620963,0.1565294226876548,0.2726290469874232,0.3319888513133924,0.3055334858832034,0.3238381877104722,0.2977073583243051,0.0716251122241461,0.1171130218703147,0.0776796922817041,0.2971406368776382
CK1_73_2,CK1,73,2,0.035364,0.2005443565793081,0.1899532279899902,0.1711611892321875,0.0998059270669703,0.2015056838416229,0.3526374550284924,0.3910459860121748,0.386819697204035,0.4101933760223211,0.3799493966749627,0.0801528829258289,0.1283976096543503,0.0869823517337811,0.3359216761721265
CK1_73_3,CK1,73,3,0.037044,0.1933256183765969,0.1725266800919343,0.1589220536470718,0.0923152883799743,0.1973096712553916,0.2972971778032878,0.3548709684914314,0.3369797428548886,0.3568749247773836,0.3296412626633741,0.0730410083171395,0.1238027410712224,0.08590240714694,0.2914932158915045
CK1_12_1,CK1,12,1,0.036744,0.1582948903968576,0.1251962438796914,0.1111318264222828,0.0652056354454807,0.128691681363963,0.2262966506413294,0.2781153983921038,0.2715610518738471,0.282388757901694,0.2614394596065429,0.0616759046300544,0.0944201148439327,0.0680796756716225,0.2552530160775013
CK1_12_2,CK1,12,2,0.040248,0.1912889399835825,0.1708053076306821,0.1500509757756786,0.0856193714376311,0.1841472279065591,0.3168667831165957,0.3578550676364781,0.3655165373440198,0.3926746912825638,0.3545869358766965,0.0645986216652629,0.1015448979397402,0.0723799327094444,0.2683565225200061
CK1_12_3,CK1,12,3,0.042084,0.1894404523584424,0.1762979150728746,0.1599432958816289,0.094761310497031,0.1840008622625176,0.3144335413485433,0.3603279932311602,0.3491457086733225,0.3570268443842041,0.3297663553278132,0.0738720801773493,0.1175655365496764,0.0892088821464428,0.2834652176335853
