Sample_ID,Treatment,Variety,Sample,R460,R520,R580,R660,R710,R730,R760,R780,R810,R850,R900,D_conv,D_stress,D_recovery,Category,Rank,BF(F440),GF(F520),RF(F690),FrF(f740),OJIP_ABS_RC,OJIP_DIo_RC,OJIP_ETo_RC,OJIP_Fm,OJIP_Fo,OJIP_Fv,OJIP_FvFm,OJIP_N,OJIP_PIabs,OJIP_Sm,OJIP_TRo_RC,OJIP_Vi,OJIP_Vj,OJIP_phiEo,OJIP_phiPo,OJIP_psiEo
D1_1219_3,D1,1219,3,0.0517194108545913,0.1717354531611686,0.200622582921804,0.1989375582263589,0.1363365167613676,0.2092986263887103,0.3385298280967273,0.3383120913801639,0.3567609577666045,0.4065845225581611,0.2984789257976164,0.2370211071473494,0.3988462936126172,0.0751959206820815,Sensitive,10,0.0619176130258077,0.0910606263615501,0.0817547308756434,0.2392806235536939,1.7211701817531817,0.3314346676676676,0.6753742857142857,16335.056300765766,2843.24279741917,13491.813503346595,0.8193305555555553,19.600603310453305,2.4951314285714283,14.223026741330832,1.3936378524238522,0.8520457197197197,0.4973607223939941,0.4116126683826683,0.8193272222222223,0.502936244101244
RD2_1219_1,RD2,1219,1,0.0336310246312885,0.1398886730410705,0.1132043890147724,0.1054795451341493,0.066423469787701,0.1055795451341493,0.1209047090364443,0.0776312175938356,0.0467229617970548,0.1127574321995029,0.1498337954374599,0.2370211071473494,0.3988462936126172,0.0751959206820815,Sensitive,10,0.0614273558563576,0.0914481244153033,0.0893458640779223,0.2026193415492367,2.26614153060203,0.7371284193245957,0.7087156437025259,13548.645384997497,4135.143414244494,9413.501970753005,0.6947928522195019,21.125316851851856,0.6750124997211501,11.150750219476976,1.7685589460889466,0.8251684831349206,0.6426925712068391,0.276458801974243,0.6947928522195019,0.357637656606186
RD2_1219_2,RD2,1219,2,0.0425854781158224,0.162672985743766,0.1337740393491196,0.1408999673444444,0.0901299998457028,0.1463715078602297,0.1789697294986153,0.2040265626046638,0.1746590591466247,0.1708692687899507,0.1886727506227221,0.2370211071473494,0.3988462936126172,0.0751959206820815,Sensitive,10,0.0661815996492812,0.0936066513076559,0.0914259787077535,0.2234226752400237,1.8987313888888893,0.6122360019071782,0.6730113644232467,15379.815805417917,4331.179450280531,11048.636355137383,0.7183854797041999,18.894014074074068,1.3741610132346636,12.59087086512262,1.591490555555556,0.8124028819444444,0.6025242078434757,0.3190048905628317,0.7183854797041999,0.3978060199695493
RD2_1219_3,RD2,1219,3,0.0510965082366167,0.1668537986149789,0.1449346208328274,0.1559432524084373,0.0991818829969582,0.1560432524084373,0.1756560526750477,0.1526214877025479,0.1142142280749503,0.1560432524084373,0.0947573058693205,0.2370211071473494,0.3988462936126172,0.0751959206820815,Sensitive,10,0.0609771015713282,0.0913250295995544,0.0878440790998988,0.2054759959382011,2.433145468825968,0.7992097320659084,0.724602991874227,13019.458809584585,4053.010468808309,8966.448340776276,0.6886959336724052,21.939536851851848,0.6843288703775204,11.007870582067063,1.873470606320606,0.8346827688492063,0.6393891615379202,0.2757353270707682,0.6886959336724052,0.3603651469536763
CK1_1228_1,CK1,1228,1,0.0345212341740837,0.1502324122408797,0.089657293481717,0.0867736556840454,0.0564307599284427,0.1068438747993998,0.1881762421335544,0.1786731318266183,0.1933931590959119,0.2232731330167042,0.2160547438778361,0.4714456240612147,0.6667832035422664,0.2761080445801631,Intermediate,4,0.0597598936061819,0.075984404763208,0.0718643627694044,0.1978843080484536,1.5867666666666664,0.2706805555555556,0.7093240694980695,24232.5,4130.972222222223,20101.527777777777,0.8296388888888887,19.448219444444444,3.2542250000000004,14.807922222222222,1.3160805555555557,0.85805,0.4452,0.4603750000000001,0.8296333333333333,0.5547999999999998
CK1_1228_2,CK1,1228,2,0.027600136802907,0.1427683582893488,0.0842812577652461,0.0844266714800453,0.0521003497447703,0.0984075678478916,0.1410170728529748,0.1839131110078116,0.2023047604141204,0.1827712725349532,0.1911737279935275,0.4714456240612147,0.6667832035422664,0.2761080445801631,Intermediate,4,0.0654955891792884,0.0774766061873257,0.0732260278053714,0.2253691525886043,1.5225972222222222,0.2575027777777777,0.7084944444444444,25342.027777777777,4287.083333333333,21054.944444444445,0.8309166666666665,18.33705,3.462922222222222,14.503544444444442,1.2651111111111113,0.8495194444444444,0.43945,0.4657861111111111,0.8309388888888888,0.5605500000000001
CK1_1228_3,CK1,1228,3,0.0435730280910563,0.1519626078269695,0.1155820629330883,0.1090261065217348,0.0746597388201051,0.1250640848487731,0.2193778566732933,0.2254572627672114,0.2136103632991035,0.2586855470834244,0.2472625245812062,0.4714456240612147,0.6667832035422664,0.2761080445801631,Intermediate,4,0.061593885711264,0.0870657621190104,0.0797230952128864,0.2650440476994456,1.502736111111111,0.2597583333333333,0.7001055555555555,24920.194444444445,4317.777777777777,20602.416666666668,0.8273611111111111,17.683252777777778,3.5074222222222224,14.264772222222222,1.242986111111111,0.8623861111111111,0.4358527777777777,0.4668027777777778,0.8272333333333335,0.5641472222222224
D1_1228_1,D1,1228,1,0.0336618587232554,0.1628883888234467,0.1459838500514284,0.1283404790068448,0.136511233867084,0.1923778632468379,0.3068521891575997,0.3863051361863681,0.3711669562539197,0.3696975742827566,0.3866895803332639,0.4714456240612147,0.6667832035422664,0.2761080445801631,Intermediate,4,0.0806859950498108,0.135973170999037,0.0980696246832664,0.347083912354637,2.450904487344487,0.5283768708708709,0.6929296296296296,15069.272222222224,2713.9981481481486,12355.274074074076,0.8193305555555553,23.02647975832976,1.9166098364078363,13.760282407407407,1.818482503360504,0.8818470714285714,0.5473976582154153,0.3562163098813097,0.8193272222222223,0.4527013306163306
D1_1228_2,D1,1228,2,0.048628611864099,0.2009955265840664,0.1903680002381481,0.1634342987895413,0.1424154559290608,0.2071034260414695,0.3904700649205417,0.4583394900457812,0.469528232693538,0.4818112660428892,0.4297195761142183,0.4714456240612147,0.6667832035422664,0.2761080445801631,Intermediate,4,0.0805028635931654,0.1420232832240904,0.100049254834897,0.3384429471909368,1.701110042900043,0.2519433333333333,0.6599046296296295,17808.355555555558,2995.2481481481486,14813.10740740741,0.8193305555555553,19.69029364721865,2.760938614185614,15.101960185185188,1.3993991700271702,0.8656731079365079,0.4643754359931932,0.4383413098813097,0.8193272222222223,0.5357235528385529
D1_1228_3,D1,1228,3,0.0368115320753673,0.1826635290661482,0.1268079972275734,0.1325479851879222,0.1285865715865781,0.1762171124398505,0.2796860606744809,0.3086111174278276,0.4022365283082384,0.3784582381181181,0.3654320604259288,0.4714456240612147,0.6667832035422664,0.2761080445801631,Intermediate,4,0.0833757538787312,0.1434133794079056,0.0985310317033456,0.3617928636254822,2.0054655984555985,0.3344740930930929,0.6707212962962963,14501.022222222224,2413.9981481481486,12087.024074074076,0.8193305555555553,19.5108242027742,2.7221525030745024,13.875676851851852,1.566951947804948,0.8682397746031747,0.4877921026598597,0.4146857543257543,0.8193272222222223,0.5123068861718861
