Variety,Treatment,Replicate,Fv/Fm,PIabs,Vj,Vi,TRo/RC,ETo/RC,ABS/RC,DIo/RC
1252,CK1,1,0.8260833333333335,5.202111428571428,0.3758055555555556,0.8125942857142857,1.0627277777777777,0.6601833333333333,1.286575,0.22385
1252,CK1,2,0.8332727272727273,4.597642857142858,0.4027742857142857,0.8576771428571428,1.1146361111111112,0.6667666666666668,1.339363888888889,0.22471944444444444
1252,CK1,3,0.8319411764705882,4.454475,0.40225588235294113,0.8529483870967741,1.115353125,0.6727676470588236,1.3397281250000002,0.2286058823529412
1252,D1,1,0.8108823529411766,2.950702857142857,0.471538888888889,0.8597029411764705,1.13506875,0.6060516129032257,1.3895129032258062,0.26628888888888885
1252,D1,2,0.8171290322580645,4.221682857142857,0.4116090909090909,0.8377942857142858,1.0512441176470586,0.6091857142857143,1.282479411764706,0.23124705882352942
1252,D1,3,0.8156176470588236,3.899348571428571,0.41723235294117644,0.8307588235294118,1.1016529411764704,0.6344583333333333,1.3493029411764708,0.24498333333333328
1252,RD2,1,0.7976470588235295,1.6342972222222225,0.5286138888888889,0.8512971428571429,1.6567416666666666,0.7573444444444444,2.107208333333334,0.4167
1252,RD2,2,0.8068529411764707,1.7780555555555553,0.5076055555555556,0.8492228571428573,1.5932205882352943,0.7831264705882353,1.9769,0.37710000000000005
1252,RD2,3,0.8092424242424242,1.7586388888888889,0.5139944444444444,0.8623612903225806,1.7189805555555555,0.8063882352941176,2.151680555555556,0.4191828571428572
1257,CK1,1,0.8252424242424241,3.2610470588235296,0.43205757575757575,0.8707322580645163,1.2199323529411765,0.6736558823529412,1.4634969696969697,0.2557878787878788
1257,CK1,2,0.8219714285714286,3.692254285714286,0.4235285714285715,0.8647147058823529,1.1800914285714286,0.6742,1.4359514285714285,0.2558485714285714
1257,CK1,3,0.8234193548387095,3.740996774193549,0.41996774193548386,0.8702028571428572,1.184996875,0.6882457142857142,1.440978125,0.2523806451612904
1257,D1,1,0.8238571428571427,2.90494,0.47488484848484847,0.8610972222222224,1.2449823529411765,0.6358657142857143,1.511114705882353,0.26066764705882356
1257,D1,2,0.8237575757575758,2.269057142857143,0.50099375,0.8623142857142857,1.295121875,0.6369441176470589,1.5716656249999998,0.2791032258064516
1257,D1,3,0.8261000000000001,2.60926875,0.4841896551724138,0.8666971428571428,1.2718586206896556,0.6467400000000001,1.5395655172413796,0.2677103448275862
1257,RD2,1,0.8184137931034482,1.897937142857143,0.5379583333333332,0.8625205882352942,1.4904242424242424,0.6982194444444444,1.7965843750000001,0.332825
1257,RD2,2,0.8162727272727271,1.5208972222222223,0.5536,0.8738194444444445,1.768258333333333,0.7719,2.1747277777777776,0.39895428571428576
1257,RD2,3,0.8166428571428571,1.6533314285714282,0.49374999999999997,0.853977777777778,1.513378125,0.7389294117647058,1.8145535714285714,0.3360857142857143
1274,CK1,1,0.8202121212121212,2.9596272727272726,0.466871875,0.867148275862069,1.2267529411764706,0.6481935483870969,1.4692757575757576,0.26386666666666664
1274,CK1,2,0.8216944444444443,2.846842857142858,0.47850277777777783,0.8754861111111111,1.2276333333333336,0.6403971428571429,1.4945444444444445,0.2669194444444444
1274,CK1,3,0.8259722222222222,2.8531057142857144,0.47380555555555554,0.871077142857143,1.2791055555555557,0.6677999999999998,1.5483166666666666,0.2692083333333334
1274,D1,1,0.8132666666666668,2.555631034482759,0.47952333333333336,0.864578787878788,1.2940305555555556,0.641239393939394,1.5349906249999998,0.2869967741935484
1274,D1,2,0.80658064516129,2.0329823529411764,0.4948172413793102,0.8717484848484849,1.316793548387097,0.639234375,1.6393870967741937,0.3079551724137931
1274,D1,3,0.8160000000000001,2.496783333333333,0.49558333333333326,0.8544588235294117,1.281340625,0.627053125,1.5403799999999999,0.2799551724137931
1274,RD2,1,0.79590625,0.8034500000000001,0.6275757575757575,0.8826742857142857,1.9789030303030302,0.7158,2.4689685714285714,0.5174029411764706
1274,RD2,2,0.797258064516129,0.8330583333333332,0.6166909090909092,0.8884531250000001,1.9084636363636363,0.7109861111111111,2.36995,0.484884375
1274,RD2,3,0.7635151515151515,0.6185055555555556,0.6665194444444444,0.8709285714285714,2.2140555555555554,0.7228000000000001,3.082648571428571,0.7407575757575757
